"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"[Title page]","",,2018 IEEE 6th International Conference on Serious Games and Applications for Health (SeGAH),"2 Jul 2018","2018","","","1","1","The following topics are dealt with: computer games; virtual reality; diseases; health care; medical computing; human factors; geriatrics; patient treatment; computer aided instruction; and patient rehabilitation.","2573-3060","978-1-5386-6298-4","10.1109/SeGAH.2018.8401311","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8401311","","","","","","","IEEE","2 Jul 2018","","","IEEE","IEEE Conferences"
"[Copyright notice]","",,2018 IEEE 6th International Conference on Serious Games and Applications for Health (SeGAH),"2 Jul 2018","2018","","","1","1","Presents the copyright information for the conference. May include reprint permission information.","2573-3060","978-1-5386-6298-4","10.1109/SeGAH.2018.8401310","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8401310","","","","","","","IEEE","2 Jul 2018","","","IEEE","IEEE Conferences"
"Rewards that make you play: The Distinct effect of monetary rewards, virtual points and social rewards on play persistence in substance dependent and non-dependent adolescents","M. M. M. van Dooren; V. T. Visch; R. Spijkerman","Faculty of Industrial Design Engineering, Delft University of Technology, Delft, The Netherlands; Faculty of Industrial Design Engineering, Delft University of Technology, Delft, The Netherlands; Brijder Addiction Care, Parnassia Group, The Hague, The Netherlands",2018 IEEE 6th International Conference on Serious Games and Applications for Health (SeGAH),"2 Jul 2018","2018","","","1","7","Designers of persuasive games typically apply various types of rewards to increase the player's play persistence and to motivate the player for real world goals such as a behavioral change. In this paper, we tested if different major types of game-rewards resulted in different play persistence behavior. Additionally, we investigated if rewards were suitable to apply in persuasive games within a therapeutic context for substance dependent patients, since people with substance-related disorders have a decreased neurological reward system. In a within-subject experiment, among 20 substance dependent and 25 non-dependent participants, we examined whether play persistence and reward evaluation were affected by three separate types of rewards (monetary rewards, virtual points, and social rewards) and by player type (substance dependent versus non-dependent adolescents). As to type of reward, results showed that participants played longer and evaluated the game more positively when playing for money. As to player type, in contrast to our expectations, both substance dependent and non-dependent participants were equally motivated by rewards. Moreover, the former group was even more motivated by monetary rewards in play persistence than the latter group.","2573-3060","978-1-5386-6298-4","10.1109/SeGAH.2018.8401312","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8401312","gamification;play persistence;reward types;addiction;youth","Games;Sensitivity;Face;Brain;Design engineering;Entertainment industry;Medical services","","3","","74","IEEE","2 Jul 2018","","","IEEE","IEEE Conferences"
"Assessment of the usability of an immersive virtual supermarket for the cognitive rehabilitation of elderly patients: A pilot study on young adults","M. Mondellini; S. Arlati; S. Pizzagalli; L. Greci; M. Sacco; S. Arlati; G. Ferrigno","Institute of Industrial Technologies and Automation ITIA-CNR, Milan, Italy; Institute of Industrial Technologies and Automation ITIA-CNR, Milan, Italy; Institute of Industrial Technologies and Automation ITIA-CNR, Milan, Italy; Institute of Industrial Technologies and Automation ITIA-CNR, Milan, Italy; Institute of Industrial Technologies and Automation ITIA-CNR, Milan, Italy; Department of Electronics, Information and Bioengineering, Politecnico di Milano, Milan, Italy; Department of Electronics, Information and Bioengineering, Politecnico di Milano, Milan, Italy",2018 IEEE 6th International Conference on Serious Games and Applications for Health (SeGAH),"2 Jul 2018","2018","","","1","8","In recent years, the use of virtual reality in rehabilitation has become a topic of growing interest, and many studies showed that virtual environments could represent a promising solution to enhance the cognitive rehabilitation of older patients affected by Mild Cognitive Impairment. This work presents an immersive environment representing a supermarket, developed with the aim of training cognitive capabilities in elderlies showing first symptoms of cognitive decline. The immersive environment - the Virtual Supermarket - has been validated on a sample of healthy subjects; the usability of the system was investigated in order to highlight potential issues that needed to be improved before conducting trials on a frail population. The contributions of sense of presence, cybersickness and enjoyment, as well as spontaneous users' comments, were also taken into account. The results, obtained through both self-reports and objective performance measurements, showed a very good usability of the system. Nonetheless, the clearness of the products and the interaction modalities should be improved before starting a trial with elderly patients.","2573-3060","978-1-5386-6298-4","10.1109/SeGAH.2018.8401313","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8401313","virtual reality;usability;rehabilitation","Usability;Task analysis;Senior citizens;Navigation;Training;Statistics","","18","","42","IEEE","2 Jul 2018","","","IEEE","IEEE Conferences"
"Developing a serious game for the elderly to do physical and cognitive hybrid activities","Y. -H. Lin; H. -F. Mao; Y. -C. Tsai; J. -J. Chou","Department of Bio-industrial Mechatronics Engineering, National Taiwan University, Taipei, Taiwan; School of Occupational Therapy, National Taiwan University, Taipei, Taiwan; Center for General Education, National Taiwan University, Taipei, Taiwan; Department of Bio-industrial Mechatronics Engineering, National Ilan University, Taipei, Taiwan",2018 IEEE 6th International Conference on Serious Games and Applications for Health (SeGAH),"2 Jul 2018","2018","","","1","8","The purpose of this study was to develop a serious game to stimulate older adults' cognitive and physical functions in which the processing speed, short-term memory, working memory, and eye-hand coordination are significantly declined with age. We utilize sensors, a microcontroller, gaming technologies to create a cost effective serious game. The modular design allows it to be extended or modified easily and rapidly according to the subject's profile of cognitive and physical abilities, and also could be used as an outcome measure of cognitive training. The serious game consists of a motion-sensing controller, a rhythm game and a cognitive skills evaluation approach. First, to interact with our serious game, the elderly players are asked to perform physical actions like acupressure points' slapping to activate the motion sensing controller. Second, they need to overcome challenges from the rhythm game. The challenges are composed of three game scenarios and each one can activate a specific cognitive skill like response speed, short-term memory or working memory. During the game's playing, the serious game will record the elderly's gameplay data. With this data, we propose a gameplay data analysis approach to evaluate the elderly players' cognitive skills in short-term memory and working memory. Finally, we conducted an experiment to test the feasibility and discover phenomena which may be helpful in the improvement of our serious game in future.","2573-3060","978-1-5386-6298-4","10.1109/SeGAH.2018.8401314","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8401314","Cognitive Training;Physical Activity;Rhythm Game;Motion Sensing;Response Speed;Short-term Memory;Working Memory;Acupressure Points","Games;Senior citizens;Rhythm;Training;Two dimensional displays;Color;Sensors","","11","","14","IEEE","2 Jul 2018","","","IEEE","IEEE Conferences"
"A method to study purposeful game design process","S. Athavale; G. Dalvi","Tata Consulatncy Services, Tata Research Development and Design Center, Pune, India; IIT Bombay, Industrial Design Center, Mumbai, India",2018 IEEE 6th International Conference on Serious Games and Applications for Health (SeGAH),"2 Jul 2018","2018","","","1","8","Demand for designing effective purposeful games for education, healthcare and social change is increasing. However, the underlying processes used in the design of effective purposeful games are understudied. Prominent among these, is the need to understand strategies that designers use to translate content into gameplay. We propose a method to elicit strategies used by designers. Our method uses protocol analysis within an experimental setup to study the purposeful game design process. This paper describes the implementation of the method, and the rationale for our decisions. The method was validated through a set of pilot studies. Through the results of these studies, we discuss the adequacy and limitations of the method and the modifications required. The results of the pilot study provide insights into the game design process. They suggest that our method is capable of revealing strategies used by designers in translating content from problem space to game elements. The main contribution of our work is the selection, adaptation and demonstration of a method to study game design practice in-situ, and thereby create a methodological foundation to discover processes and strategies for effective purposeful game design.","2573-3060","978-1-5386-6298-4","10.1109/SeGAH.2018.8401315","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8401315","game design process;purposeful game design;protocol analysis;endogenous design","Games;Protocols;Encoding;Task analysis;Interviews;Cognition;Prototypes","","2","","26","IEEE","2 Jul 2018","","","IEEE","IEEE Conferences"
"A model for integrating human computing into commercial video games","C. Clark; I. Greenberg; M. Ouellette","SMU Guildhall, Southern Methodist University, Dallas, TX; Center of Creative Computing, Southern methodist University, Dallas, TX; SMU Guildhall, Southern Methodist University, Dallas, TX",2018 IEEE 6th International Conference on Serious Games and Applications for Health (SeGAH),"2 Jul 2018","2018","","","1","8","Human Computing (HC) is a successful approach to crowdsourcing scientific research. Despite its success, many HC projects struggle to expand their user base and create sustained user engagement. In contrast, the commercial video game industry overall is very successful at encouraging users to spend significant time and resources to play over extended stretches of time, using techniques such as gameplay loops to engage players on many levels. When integrating scientific research into a video game, ideally the HC activities fit naturally within the gameplay loops and overall game themes, which game developers are best suited to accomplish. The authors propose a new HC to Video Games (HCtVG) model and associated framework, which provides a common means to connect HC research and video game developers. The HCtVG model comprises two major phases: Deconstruction and Analysis (DA) done by the researchers, and Game Integration (GI) completed by the game developers. During the DA, researchers deconstruct their research into a 5-Step Analysis Structure (5SAS) consisting of Suggest, Validate, Process, Select, and Exit steps. The 5SAS allows game developers to perform the GI phase, using the guidelines provided to integrate the HC activity into the gameplay and theme. This structure allows scientists to focus on their domain expertise while leveraging the skills of the game development community to design their video game integration. To demonstrate the HCtVG model, the authors apply the DA phase to an HC project seeking the discovery of chemotherapeutic co-medication properties for multi-drug resistant cancer research, and use the GI phase to design and integrate the HC activity into the popular game Minecraft.","2573-3060","978-1-5386-6298-4","10.1109/SeGAH.2018.8401316","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8401316","Human computer interaction;Big data applications;Game design;Serious games;Human computing","Games;Computational modeling;Analytical models;Guidelines;Cancer;Tools;Crowdsourcing","","6","","46","IEEE","2 Jul 2018","","","IEEE","IEEE Conferences"
"Assessing the validity of in-game stepping performance data from a kinect-based fall prevention exergame","J. A. Garcia","UTS Games Studio, University of Technology Sydney, Sydney, Australia",2018 IEEE 6th International Conference on Serious Games and Applications for Health (SeGAH),"2 Jul 2018","2018","","","1","7","One of the main limitations of commercial games is the inability to determine improvements in the mental and physical health of the players. Although high game scores might provide an indication of higher cognitive and physical abilities, these are not sufficient to reliably determine the improvement in health outcomes. The work presented in this paper hence focuses on determining whether the collection of clinical measures during gameplay could potentially be used as a reliable indicator of improvement. For this study, the author uses the StepKinnection game for fall prevention, a Kinect-based game which builds on a hybrid version of the Choice Stepping Reaction Time (CSRT) task, a validated test that has been shown to prospectively predict older fallers. A group of 10 independent-living older adults was recruited and asked played with the game for a 12 weeks period of time. Assessments were conducted at baseline and every four weeks. Stepping performance data collected through gameplay was compared to the validated CSRT test. Statistical analysis proved that the stepping performance data collected by the game correlated and agreed with the validated measures of the CSRT test, suggesting that this could be used as a reliable indicator for health improvements.","2573-3060","978-1-5386-6298-4","10.1109/SeGAH.2018.8401317","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8401317","Fall prevention;elderly;older people;games for health;clinical data collection;Kinect","Games;Task analysis;Reliability;Training;Senior citizens;Data collection;Aging","","4","","24","IEEE","2 Jul 2018","","","IEEE","IEEE Conferences"
"It is not rocket science. It is collaborative play for old and young!","M. Ruehrlinger; F. Gattringer; B. Stiglbauer; J. Hagler; M. Lankes; C. Holzmann","Upper Austria Department of Digital Media, University of Applied Sciences, Hagenberg, Austria; Department of Education and Psychology, Johannes Kepler University Linz, Linz, Austria; Department of Education and Psychology, Johannes Kepler University Linz, Linz, Austria; Upper Austria Department of Digital Media, University of Applied Sciences, Hagenberg, Austria; Upper Austria Department of Digital Media, University of Applied Sciences, Hagenberg, Austria; Upper Austria Department of Mobility and Energy, University of Applied Sciences, Hagenberg, Austria",2018 IEEE 6th International Conference on Serious Games and Applications for Health (SeGAH),"2 Jul 2018","2018","","","1","7","Our submission describes the design, development and evaluation of an intergenerational game prototype called Cosmonauts. The aim of the prototype is to identify design factors for intergenerational games that are easy to learn, feature a simple and intuitive control scheme, and offer a certain amount of depth that keeps players enjoying themselves. In detail, our work investigates how different game features (collaborative creation of game content vs. predefined game content) and interaction techniques (tangible objects vs. touchscreen interaction) effect the game experience of old and young (investigated factors: relatedness, autonomy, competence, and enjoyment). Results show that implementing a collaborative creation of game content improves overall game enjoyment, and using tangible objects benefits social relatedness in a collaborative game setting.","2573-3060","978-1-5386-6298-4","10.1109/SeGAH.2018.8401318","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8401318","intergenerational games;collaborative play;tangibles vs. touch interaction","Games;Collaboration;Prototypes;Senior citizens;Electronic mail;Media;Psychology","","2","","36","IEEE","2 Jul 2018","","","IEEE","IEEE Conferences"
"Evaluation of interprofessional learning among medical and pharmacy students using a virtual patient simulation","N. D. Martini; C. S. Webster","School of Pharmacy, University of Auckland, Auckland, New Zealand; Centre for Medical and Health Sciences Education, University of Auckland, Auckland, New Zealand",2018 IEEE 6th International Conference on Serious Games and Applications for Health (SeGAH),"2 Jul 2018","2018","","","1","4","This paper presents the use of a virtual patient simulation to encourage interprofessional engagement in undergraduate medical and pharmacy students. Twenty students from each discipline were selected to participate in the study, and invited to complete the simulation on their own or in cross-disciplinary pairs. The Readiness for Interprofessional Learning Scale, which considers attitudes towards teamwork and collaboration, professional identity, and roles and responsibilities, was used to assess the students' attitudes towards interprofessional engagement pre- and post-simulation. These results are presented and discussed.","2573-3060","978-1-5386-6298-4","10.1109/SeGAH.2018.8401319","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8401319","virtual patient simulation;interprofessional learning;pharmacy;medicine;undergraduate students","Teamwork;Medical diagnostic imaging;Education;Safety;Tools","","1","","23","IEEE","2 Jul 2018","","","IEEE","IEEE Conferences"
